"int","int_label","has_participant","participant_label","has_dissociation_constant","dissociation_constant_value","dissociation_constant_error","is_confirmed_by","is_outcome_of"
"http://rdf.freebase.com/ns/m.0cx23k1","9245404-dopamine-interaction-3","http://rdf.freebase.com/ns/m.0c_3s","Dopamine","http://rdf.freebase.com/ns/m.0cx2dzx","1.6e-06","1.7e-07","http://rdf.freebase.com/ns/m.0cx2bpw","http://rdf.freebase.com/ns/m.0cw_y31"
"http://rdf.freebase.com/ns/m.0dg9mhb","7508262-cyanocobalamin-Interaction-1","http://rdf.freebase.com/ns/m.03d6_gm","Cyanocobalamin","http://rdf.freebase.com/ns/m.0dg9mv4","3.2e-07","9e-08","http://rdf.freebase.com/ns/m.0dg9mhv","http://rdf.freebase.com/ns/m.0dg9mdf"
"http://rdf.freebase.com/ns/m.0dg9mwk","7508262-cyanocobalamin-Interaction-2","http://rdf.freebase.com/ns/m.03d6_gm","Cyanocobalamin","http://rdf.freebase.com/ns/m.0dg9mvg","8.8e-08","1.9e-08","http://rdf.freebase.com/ns/m.0dg9mhv","http://rdf.freebase.com/ns/m.0dg9mdf"
"http://rdf.freebase.com/ns/m.0dghd11","17038331-codeine-Interaction-12","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfcx","1.09e-05","9.5e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd18","17038331-codeine-Interaction-13","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfd4","2.8e-05","1.42e-06","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd1h","17038331-codeine-Interaction-15","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfdn","1.15e-05","2.7e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd1q","17038331-codeine-Interaction-7","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghf8q","5.8e-06","2.9e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd1y","17038331-codeine-Interaction-18","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghf2g","5.77e-06","3.6e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd24","17038331-codeine-Interaction-6","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghf88","4e-06","1.3e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd2c","17038331-codeine-Interaction-21","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfjy","8.18e-06","2.3e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd2l","17038331-codeine-Interaction-10","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfcd","4.37e-05","1.23e-06","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd2t","17038331-codeine-Interaction-8","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfbf","2.86e-05","9.6e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd30","17038331-codeine-Interaction-9","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfc4","1.45e-05","5.8e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd37","17038331-codeine-Interaction-23","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfl4","2.59e-06","9e-08","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd3g","17038331-codeine-Interaction-2","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghf4n","7.23e-06","3.4e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd3p","17038331-codeine-Interaction-1","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghf4d","2.36e-05","1.22e-06","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd3x","17038331-codeine-Interaction-5","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghf80","8.88e-06","3.9e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd43","17038331-codeine-Interaction-20","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfj3","7.67e-06","2.6e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd4_","17038331-codeine-Interaction-19","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfhd","8.88e-06","3.9e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd4b","17038331-codeine-Interaction-3","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghf74","7.8e-05","4.15e-06","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd4k","17038331-codeine-Interaction-17","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfmg","4.75e-06","3.2e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd4s","17038331-codeine-Interaction-4","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghf7d","9.17e-06","3.3e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd56","17038331-codeine-Interaction-22","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfkw","4.55e-06","1.4e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd5f","17038331-codeine-Interaction-11","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfcn","1.91e-05","1.49e-06","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd5n","17038331-codeine-Interaction-16","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfh2","1.3e-05","6.5e-07","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dghd5w","17038331-codeine-Interaction-14","http://rdf.freebase.com/ns/m.0256v","Codeine","http://rdf.freebase.com/ns/m.0dghfdd","2.5e-06","6e-08","http://rdf.freebase.com/ns/m.0dghd_2","http://rdf.freebase.com/ns/m.0dghczb"
"http://rdf.freebase.com/ns/m.0dk8nhd","9873529-bFGF-Interaction-1","http://rdf.freebase.com/ns/m.06hmdn","Basic fibroblast growth factor","http://rdf.freebase.com/ns/m.0dk8nkw","1.8e-09","8e-10","http://rdf.freebase.com/ns/m.0dk8nhx","http://rdf.freebase.com/ns/m.0dk8ncm"
"http://rdf.freebase.com/ns/m.0dlc190","9889155-sulforhodamine B-Interaction-3","http://rdf.freebase.com/ns/m.03mc7x","Sulforhodamine B","http://rdf.freebase.com/ns/m.0dlc15f","3.1e-07","6e-08","http://rdf.freebase.com/ns/m.0dlc14y","http://rdf.freebase.com/ns/m.0d1x908"
"http://rdf.freebase.com/ns/m.0dlc190","9889155-sulforhodamine B-Interaction-3","http://rdf.freebase.com/ns/m.03mc7x","Sulforhodamine B","http://rdf.freebase.com/ns/m.0dlc15f","3.1e-07","6e-08","http://rdf.freebase.com/ns/m.0dlc155","http://rdf.freebase.com/ns/m.0d1x908"
"http://rdf.freebase.com/ns/m.0ghfnk_","16707660-DNA polymerase Beta-Interaction-1","http://rdf.freebase.com/ns/m.03gt7wv","DNA polymerase beta","http://rdf.freebase.com/ns/m.0ghfnn7","4.3e-07","1.3e-07","http://rdf.freebase.com/ns/m.0ghfnm_","http://rdf.freebase.com/ns/m.0ghfnk6"
"http://rdf.freebase.com/ns/m.0ghfnl6","16707660-DNA polymerase Beta-Interaction-2","http://rdf.freebase.com/ns/m.03gt7wv","DNA polymerase beta","http://rdf.freebase.com/ns/m.0ghfnq2","2.9e-07","8e-08","http://rdf.freebase.com/ns/m.0ghfnm_","http://rdf.freebase.com/ns/m.0ghfnk6"
"http://rdf.freebase.com/ns/m.0gkbx07","10671531-ricin A-chain-Interaction-2","http://rdf.freebase.com/ns/m.04kj5mg","Ricin A Chain","http://rdf.freebase.com/ns/m.0gkbx97","7.4e-09","-1.0","http://rdf.freebase.com/ns/m.0gkbx35","http://rdf.freebase.com/ns/m.0gkbw_5"
"http://rdf.freebase.com/ns/m.0gkbx0g","10671531-ricin A-chain-Interaction-1","http://rdf.freebase.com/ns/m.04kj5mg","Ricin A Chain","http://rdf.freebase.com/ns/m.0gkbx3f","2.4e-07","-1.0","http://rdf.freebase.com/ns/m.0gkbx35","http://rdf.freebase.com/ns/m.0gkbw_5"
"http://rdf.freebase.com/ns/m.0gkczss","11851395-FAD-Interaction-1","http://rdf.freebase.com/ns/m.02kdg1v","FADH","http://rdf.freebase.com/ns/m.0gkczz1","5e-05","2e-05","http://rdf.freebase.com/ns/m.0gkczyt","http://rdf.freebase.com/ns/m.0gkczrn"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtk_","2.69e-08","1.1e-09","http://rdf.freebase.com/ns/m.0glhth1","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtk_","2.69e-08","1.1e-09","http://rdf.freebase.com/ns/m.0glhth9","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtk_","2.69e-08","1.1e-09","http://rdf.freebase.com/ns/m.0glhthk","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtk_","2.69e-08","1.1e-09","http://rdf.freebase.com/ns/m.0glhtht","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtk_","2.69e-08","1.1e-09","http://rdf.freebase.com/ns/m.0glhtj1","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtk_","2.69e-08","1.1e-09","http://rdf.freebase.com/ns/m.0glhtj9","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtk_","2.69e-08","1.1e-09","http://rdf.freebase.com/ns/m.0glhtjk","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtk_","2.69e-08","1.1e-09","http://rdf.freebase.com/ns/m.0glhtjt","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtk_","2.69e-08","1.1e-09","http://rdf.freebase.com/ns/m.0glhtk1","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtk_","2.69e-08","1.1e-09","http://rdf.freebase.com/ns/m.0glhtk9","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtks","3.22e-08","3.7e-09","http://rdf.freebase.com/ns/m.0glhth1","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtks","3.22e-08","3.7e-09","http://rdf.freebase.com/ns/m.0glhth9","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtks","3.22e-08","3.7e-09","http://rdf.freebase.com/ns/m.0glhthk","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtks","3.22e-08","3.7e-09","http://rdf.freebase.com/ns/m.0glhtht","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtks","3.22e-08","3.7e-09","http://rdf.freebase.com/ns/m.0glhtj1","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtks","3.22e-08","3.7e-09","http://rdf.freebase.com/ns/m.0glhtj9","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtks","3.22e-08","3.7e-09","http://rdf.freebase.com/ns/m.0glhtjk","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtks","3.22e-08","3.7e-09","http://rdf.freebase.com/ns/m.0glhtjt","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtks","3.22e-08","3.7e-09","http://rdf.freebase.com/ns/m.0glhtk1","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtks","3.22e-08","3.7e-09","http://rdf.freebase.com/ns/m.0glhtk9","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtl6","8.29e-08","6.6e-09","http://rdf.freebase.com/ns/m.0glhth1","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtl6","8.29e-08","6.6e-09","http://rdf.freebase.com/ns/m.0glhth9","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtl6","8.29e-08","6.6e-09","http://rdf.freebase.com/ns/m.0glhthk","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtl6","8.29e-08","6.6e-09","http://rdf.freebase.com/ns/m.0glhtht","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtl6","8.29e-08","6.6e-09","http://rdf.freebase.com/ns/m.0glhtj1","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtl6","8.29e-08","6.6e-09","http://rdf.freebase.com/ns/m.0glhtj9","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtl6","8.29e-08","6.6e-09","http://rdf.freebase.com/ns/m.0glhtjk","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtl6","8.29e-08","6.6e-09","http://rdf.freebase.com/ns/m.0glhtjt","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtl6","8.29e-08","6.6e-09","http://rdf.freebase.com/ns/m.0glhtk1","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtl6","8.29e-08","6.6e-09","http://rdf.freebase.com/ns/m.0glhtk9","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtlf","3.41e-07","3.54e-08","http://rdf.freebase.com/ns/m.0glhth1","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtlf","3.41e-07","3.54e-08","http://rdf.freebase.com/ns/m.0glhth9","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtlf","3.41e-07","3.54e-08","http://rdf.freebase.com/ns/m.0glhthk","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtlf","3.41e-07","3.54e-08","http://rdf.freebase.com/ns/m.0glhtht","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtlf","3.41e-07","3.54e-08","http://rdf.freebase.com/ns/m.0glhtj1","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtlf","3.41e-07","3.54e-08","http://rdf.freebase.com/ns/m.0glhtj9","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtlf","3.41e-07","3.54e-08","http://rdf.freebase.com/ns/m.0glhtjk","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtlf","3.41e-07","3.54e-08","http://rdf.freebase.com/ns/m.0glhtjt","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtlf","3.41e-07","3.54e-08","http://rdf.freebase.com/ns/m.0glhtk1","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtlf","3.41e-07","3.54e-08","http://rdf.freebase.com/ns/m.0glhtk9","http://rdf.freebase.com/ns/m.0glht5l"
"http://rdf.freebase.com/ns/m.0glhtbd","12902353-PrP-Interaction-1","http://rdf.freebase.com/ns/m.02lg8dx","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)","http://rdf.freebase.com/ns/m.0glhtln","1.6e-08","1.8e-09","http://rdf.freebase.com/ns/m.0glhth1","http://rdf.freebase.com/ns/m.0glht5l"
